문제,정답
위험 분석 방법 중 하나인 '상세 위험 분석법' 에 대하여 개념과 장단점을 설명하시오,"개념은 정형화되고 구조화된 프로세스를 기반으로 자산 분석, 위협 분석, 취약성 분석의 각 단계를 수행하여 모든 정보자산에 대한 위험을 상세하게 분석하는 방식임, 장점은 자산가치, 위협, 취약점의 평가에 기반하여 위험을 산정하므로 허용가능 수준까지 위험을 줄이는 근거를 명확히 할 수 있음. 계량적 수치화가 가능하며 평가의 완전성이 높음. 보안 환경의 변화에 따른 새로운 위험에 대한 분석도 용이하게 할 수 있음. 단점은 위험 분석 방법론을 잘 이해하고 있는 인적 자원이 필요하며, 위험분석에 시간, 노력, 비용이 많이 소요됨"
SQL Injection을 예방하기 위한 prepared statement의 개념에 대하여 설명하시오,"최초에 한번 쿼리를 분석해 최적화 수행 후 메모리에 저장해두고, 다음 요청부터는 저장된 결과를 재사용하여 쿼리를 수행하는 방식이다. 성능 측면의 효율이 높고, SQL 인젝션 방지가 가능하다. 참고로 일반 statement 방식은 실행시마다 쿼리를 분석해 최적화 수행 후 실행하는 방식이라 효율이 낮고 SQL Injection 공격에 취약하다."
SQL Injection을 예방하기 위한 prepared statement가 SQL공격을 막을 수 있는 이유에 대하여 설명하시오,사용자가 입력한 값이 SQL 명령의 일부가 아닌 매개 변수로 처리되기 때문에 SQL 인젝션 공격을 막을 수 있다.
DRDoS의 공격원리에 대하여 설명하시오,"공격자는 소스 IP를 공격대상의 IP로 위조하여 다수의 반사서버로 요청을 보내고, 공격대상 서버는 반사서버로부터 다수의 응답을 받아 서비스 거부 상태에 빠짐"
DRDoS의 기존 DoS와의 차이점에 대하여 설명하시오,"첫 번째 차이점은 출발지 IP가 위조되고, 반사서버를 통해 공격이 수행되므로 공격의 출처를 파악하기 어렵다는 것이고, 두번 째 차이점은 다수의 좀비 PC를 동원하지 않더라도 대량의 공격 패킷을 만들어낼 수 있어 효율이 높다는 점이다."
스팸메일 차단 방법으로 SPF(Send Policy Framework)와 DKIM(DomainKeys Identified Mail)가 있다. 그 중 SPF의 동작 원리에 대해서 설명하시오.,발신자는 자신의 메일 서버 정보와 정책을 적은 SPF 레코드를 해당 DNS에 등록하고 수신자는 이미 등록된 발신자의 SPF 레코드를 확인하여 수신한 메일에 표시된 IP와 비교하여 수신여부를 결정한다.
스팸메일 차단 방법으로 SPF(Send Policy Framework)와 DKIM(DomainKeys Identified Mail)가 있다. 그 중 DKIM에서 공개키를 전달하는 수단과 기법을 설명하시오.,수신자는 DNS에 등록된 송신자의 공개키를 조회하여 확인하고 도메인 네임에 연결된 전자서명을 이메일 메시지에 첨부
"IDS는 내부 트래픽에 대하여 미러 방식으로 사용하고, IPS는 인라인 방식으로 외부와 내부 접점에 배치하여 사용하는 이유는?","IPS는 실시간 차단을 목적으로 하기 때문에 인라인 방식으로 구성되어야 하며, 외부에서의 악의적인 침입 시도를 차단하는데 포커스를 두어 내부와 외부의 접점에 배치하는 것이 좋다. IPS를 내부망에 배치하여 운영하는 경우 오탐으로 인하여 네트워크에 문제가 발생할 수 있으므로, 내부망에는 침입 탐지를 목적으로 하는 IDS를 배치하는 것이 좋다. IDS는 포트미러링 방식으로 업무 데이터 흐름에 영향을 주지 않고 패킷을 분석하여 침입 여부를 탐지할 수 있기 때문이다. 참고로, IPS는 장애 시 업무에 영향을 줄 수 있으므로 bypass 기능을 지원해야 한다."
"정보통신서비스를 제공하는 사이트의 개인정보 관리 실태를 점검한 결과 개인정보파일에 비밀번호, 주민등록번호, 여권번호, 신용카드번호 등이 모두 암호화되지 않은 것을 확인하였다. 이 중 비밀번호에 대하여 안정성 기준 및 암호 알고리즘 에 대해 서술하시오.","비밀번호는 복호화되지 않도록 안전한 일방향 알고리즘 SHA-224/256/384/512 등이 있으며 암호화한 해시 값이 쉽게 크래킹되지 않도록 암호화 시 솔트(salt), 반복횟수 등을 추가하여 암호 강도를 높인다. "
"정보통신서비스를 제공하는 사이트의 개인정보 관리 실태를 점검한 결과 개인정보파일에 비밀번호, 주민등록번호, 여권번호, 신용카드번호 등이 모두 암호화되지 않은 것을 확인하였다. 이 중 비밀번호에 대하여 안정성 기준 및 암호 알고리즘 에 대해 서술하시오.","주민등록번호는 안전한 암호화 알고리즘을 사용하여 암호화한다. SEED, ARIA-128/192/256, AES-128/192/256 등이 있으며 공개키 암호화 알고리즘에는 키 길이 2048bit 이상의 RSA 등이 있다."
XSS(Cross Site Script) 공격의 공격 기법 중 Stored XSS를 설명하시오.,"웹 사이트의 게시판, 코멘트 필드, 사용자 프로필 등의 입력 Form을 통해 악성 스크립트를 삽입하여 DB 저장한다. 이후 사용자가 사이트를 방문하여 저장된 페이지(게시글 등)를 열람할 때, 저장된 악성 스크립트가 로딩되어서 사용자 브라우저에서 실행되도록 하는 기법이다."
XSS(Cross Site Script) 공격의 공격 기법 중 DOM based XSS를 설명하시오.,"외부에서 입력받은 악성 스크립트가 포함된 URL 파라미터 값이 서버를 거치지 않고, DOM 생성의 일부로 실행되면서 공격이 이루어진다."
